Code,UiFile,Kor,Eng,Arg
10001,Font,굴림체,Tahoma,Arial
10002,Size,12,14,16
20001,Login.ui,로그인,LOGIN,LOGIN
20002,Login.ui,아이디,Account,Account
20003,Login.ui,패스워드,Password,Password
30001,ChoiceTrio.ui,게임옵션,Game Option,Game Option
30002,ChoiceTrio.ui,게임종료,Quit,Quit
30003,ChoiceTrio.ui,최종 삭제일,The latest deleted,The latest deleted
30004,ChoiceTrio.ui,최근 접속일,The latest connected,The latest connected
30005,ChoiceTrio.ui,코인,Coins,Coins
30006,ChoiceTrio.ui,포인트,Points,Points
30007,ChoiceTrio.ui,크레딧,Credits,Credits
30008,ChoiceTrio.ui,캐릭터를 삭제 하시겠습니니까?\주민번호 뒷자리(7자리)를 입력하여주세요,"Are you sure want to delete character? \ Please, Input the password.","Are you sure want to delete character? \ Please, Input the password."
40001,Choice.ui,초대 하기,Invite,Invite
40002,Choice.ui,메시지 입력,Message,Message
40003,Choice.ui,포지션,Position,Position
40004,Choice.ui,레벨,Lv.,Lv.
40005,Choice.ui,캐릭터명,Name,Name
40006,Choice.ui,멘트,Comment,Comment
50001,ChoiceClass.ui,이전화면,Back,Back
50002,ChoiceClass.ui,튜토리얼,Tutorial,Tutorial
50003,ChoiceClass.ui,Exp,EXP,EXP
50004,ChoiceClass.ui,『%s』님 경기는 어땠나요?\옆에서 지켜보니 정말 멋있게 해내던데요!! 이제 전직을 해보도록 해요.\자신의 포지션과 특성을 결정하는 일이죠. 제가 지난 경기 분석을 가져왔어요.,"『%s』, How was the match?\You are doing well!! Let's select position. It's to decide the position and characteristic.\This is the analysis for your past match.","『%s』, How was the match?\You are doing well!! Let's select position. It's to decide the position and characteristic.\This is the analysis for your past match."
50005,ChoiceClass.ui,『%s』님은 슛에 일가견이 있으시네요!\FW 포지션이 어떠신가요? 공격을 전담해서 골을 기록하는 포지션이죠. 멋지지 않나요?,"『%s』, What a nice shot!\Do you like FW position? It's the position to make the goal. Isn't nice?","『%s』, What a nice shot!\Do you like FW position? It's the position to make the goal. Isn't nice?"
50006,ChoiceClass.ui,『%s』님은 패스에 일가견이 있으시네요!\MF 포지션이 어떠신가요? 팀의 공격과 수비 모두에 관여하는 똑똑한 살림꾼 역할이죠?,"『%s』, What a nice pass!\Do you lke MF position? This position involved in both Striker & Defender positions.","『%s』, What a nice pass!\Do you lke MF position? This position involved in both Striker & Defender positions."
